sim,year,cx,cy,cz,volume,mass
1,20,5050,2550,468.54,7784980,31671901.61
1,30,5067.52,2560.58,154.68,27209220,75482827.2
1,40,5079.78,2562.08,140.89,33844010,122994298.4
1,50,5092.6,2560.4,141.9,41938790,171603574.5
1,60,5101.67,2560.11,147.87,45883730,216134719.4
1,80,5118.56,2559.89,155.63,53295930,295563237
1,100,5134.78,2558.83,160.21,60118200,370119669.8
1,120,5151.97,2558.22,166.69,66115510,437187729.6
1,150,5175.93,2557.99,172.85,76197690,527770751.1
1,200,5210.76,2556.4,179.9,88967270,672490135.2
2,40,5050,2550,1268,2111970,11845995.89
2,50,5050,2550,1263.63,2111970,16378059.1
2,60,5050,2550,1260.06,2111970,20728943.57
2,80,5050,2550,1255.07,2111970,28927452.12
2,100,5053.15,2550,1249.31,2576810,36728101.26
2,120,5059.79,2550,1249.32,3738910,43965797.05
2,150,5060.16,2550,1243.73,3738910,54030882.48
2,200,5068.33,2550,1240.21,5133430,70906900.66
3,20,5050,2550,1310.63,1859360,18607485.7
3,30,5050,2563.41,1296.63,2324200,45116521.54
3,40,5065.84,2599.28,1279.76,4648400,73636115.92
3,50,5079.15,2631.15,1272.22,6042920,102725341.4
3,60,5092.26,2659.58,1268.54,6507760,129643940.4
3,80,5118.18,2684.75,1257.07,10287050,178234319
3,100,5136.31,2697.7,1239.2,13621690,223978297.1
3,120,5152.38,2704.91,1219.07,16026650,265403424.2
3,150,5167.27,2709.56,1200.17,19381480,321708665.2
3,200,5190.72,2714.88,1176.39,27000630,412607675.5
4,20,5050,2550,899.77,3880240,40868848.36
4,30,5055.77,2549.6,658.85,11155690,95287915.4
4,40,5066.16,2547.84,614.49,19896030,154508138.8
4,50,5088.55,2545.32,592.83,29621130,215175634.4
4,60,5104.39,2544.3,572.4,45178840,270512768.8
4,80,5129.49,2537.2,535.99,77501070,368707264.4
4,100,5150.55,2533.82,525.9,109145620,460761840.7
4,120,5173.02,2532.56,520.55,126200070,543332595.5
4,150,5203.24,2530.47,519.39,151046850,654548604.4
4,200,5255.78,2526.46,516.75,190023200,831434568.3
5,60,5050,2550,1152.52,485030,11238294.94
5,80,5050,2550,1152.52,485030,15760862.26
5,100,5050,2550,1152.52,485030,20079246.04
5,120,5050,2550,1152.52,485030,24118755.03
5,150,5050,2550,1152.52,485030,29779220.8
5,200,5050,2550,1152.52,485030,39391228.24
6,20,5050,2550,437.58,3409910,13161935.12
6,30,5088,2548.87,94.04,25121550,31959987.95
6,40,5153.48,2546.89,62.38,50305620,52074204.76
6,50,5218.63,2544.75,54.4,73792220,72546328.4
6,60,5277.91,2542.2,51.42,89866620,91622229.08
6,80,5384.92,2536.29,49.04,118138090,126337669.1
6,100,5473.17,2528.03,48.41,142062170,159085185.2
6,120,5552.91,2520.38,48.82,159249010,188876855.5
6,150,5640.4,2512.53,49.73,181895680,229545652.9
6,200,5765.85,2504.83,49.69,214254470,295671922.5
7,40,5050,2550,812.99,485030,7428779.492
7,50,5050,2550,812.99,485030,10245510.65
7,60,5050,2550,812.99,485030,12975366.69
7,80,5050,2550,812.99,485030,18175816.33
7,100,5050,2550,812.99,485030,23137345.24
7,120,5050,2550,812.99,485030,27769591.29
7,150,5050,2538.82,812.99,970060,34249062.08
7,200,5050,2536.11,812.99,970060,45219081.3
8,40,5050,2550,690.16,970060,5668702.259
8,50,5050,2550,748.52,2425150,7806863.731
8,60,5050,2550,746.06,2425150,9890509.668
8,80,5050,2550,742.61,2425150,13885068.49
8,100,5050,2550,744.95,2425150,17702105.52
8,120,5050,2550,743.89,2910180,21278726.62
8,150,5050,2550,728.48,3395210,26298518.24
8,200,5054.49,2550.03,696.93,6305390,34845213.12
9,20,5050,2550,1058.89,2425150,51374373.35
9,30,5051.76,2549.4,1035.25,4365270,116170155.7
9,40,5062.11,2543.27,1041.52,8730540,186879738.9
9,50,5075.93,2534.36,1042.58,15035930,259392631.7
9,60,5082.66,2520.47,1040.96,16491020,325304137.1
9,80,5091.89,2499.08,1035.94,20856290,441777122.4
9,100,5096.89,2480.67,1032.42,23766470,550855922.2
9,120,5109.99,2468.57,1031.97,28616770,648470794.4
9,150,5148.61,2463.79,1029.87,36862280,779660145.5
9,200,5219.93,2465.19,1026.91,50928150,987559273.2
10,30,5050,2550,377.79,1949920,4650284.342
10,40,5050,2550,382.29,2437400,7468273.011
10,50,5050,2550,385.5,2924880,10300268.5
10,60,5059.06,2550,383.97,4387320,13044622.3
10,80,5065.21,2547.78,389.44,5849760,18272042.49
10,100,5071.36,2547.41,383.47,7312200,23259149.06
10,120,5085.41,2545.87,385.26,9749600,27914945.28
10,150,5097.33,2544.9,384.16,10724560,34426926.57
10,200,5119.37,2542.88,381.54,14136920,45450770.95
11,20,5051.84,2550,1078.34,3395210,54965284.93
11,30,5060.66,2548.42,903.27,11640720,122919826.5
11,40,5079.61,2525.75,804.24,23281440,197133031.1
11,50,5108.89,2503.87,768.01,35409640,273260341.5
11,60,5139.49,2496.42,763.88,44145080,342391479.3
11,80,5179.55,2498.22,773.18,55790700,464415325.2
11,100,5214.86,2503.8,787.8,66468710,578660797.2
11,120,5251.66,2506.84,814.12,70836430,680834841.9
11,150,5276.53,2512.98,850.94,68901210,818068829.1
11,200,5300.59,2518.65,882.37,69376440,1035332513
12,200,5050,2550,667.49,485030,9773226.482
14,30,5050,2550,1387.86,464840,9024981.876
14,40,5050,2550,1336.85,1859360,14567835.65
14,50,5050,2550,1344.51,1859360,20163295.54
14,60,5050,2550,1350.93,1859360,25512615.28
14,80,5067.75,2550,1342.36,3253880,35543739.64
14,100,5068.76,2550,1340.84,3253880,45076594.08
14,120,5090.97,2550,1335.98,4648400,53897118.46
14,150,5103.15,2550,1335.09,5113240,66131686.76
14,200,5126.58,2550,1332.69,6042920,86557257.16
15,20,5050,2550,1046.56,2425150,27858465.3
15,30,5054.29,2550.56,1010.39,4365270,66857483.31
15,40,5072.73,2552.12,992.4,9215570,109072305.7
15,50,5081.6,2554.38,983.21,12125750,152232156.8
15,60,5097.95,2553.94,978.44,15035930,191863309.1
15,80,5124.2,2556.33,972.29,19886230,262747815.7
15,100,5149.09,2558.83,967.73,25706590,329329578.9
15,120,5171.03,2555.06,961.93,30556890,389316544.2
15,150,5201.46,2553.23,955.77,37347310,470454885.5
15,200,5242.23,2546.68,944.47,48017970,600398450.5
17,20,5068.99,2549.64,307.72,13152160,33629761.09
17,30,5135.63,2561.6,247.32,28259140,79820001.6
17,40,5212.57,2542.71,230.4,44828560,129954013.5
17,50,5267.62,2537.88,230.62,63837830,181262776.8
17,60,5341.19,2530.3,223.6,89381890,228217196.5
17,80,5474.35,2510.79,205.05,139460020,311862671.9
17,100,5583.48,2494.04,187.84,184763350,390353132.5
17,120,5687.12,2486.43,175.94,232116600,460910537
17,150,5800.91,2489.04,166.75,287124700,556142665.8
17,200,5934.96,2503.53,160.79,363001790,708122781.9
18,20,5050,2550,1050.57,2425150,22510912.15
18,30,5050,2550,955.14,4850300,54409980.42
18,40,5082.9,2529.94,812.98,9215570,88829280.08
18,50,5140.56,2515.48,760.59,14550900,123976024.3
18,60,5192.33,2502.96,738.43,19401200,156379509
18,80,5272.47,2476.19,717.62,25706590,214614070.8
18,100,5337.04,2452.29,707.23,29586830,269378024.1
18,120,5380.37,2450.44,703.2,36862280,318849626.2
18,150,5427.45,2458.96,699.24,43167670,385934854.9
18,200,5509.98,2475.78,696.39,58203600,493821479.4
20,150,5050,2550,861.5,485030,18020393.21
20,200,5050,2550,885.4,970060,23999370.64
21,150,5050,2550,1247.75,2364580,13277381.1
21,200,5050,2550,1249.27,2364580,17756749.39
22,10,5050,2550,1315.97,1859360,22190059.1
22,20,5079.68,2578.8,1266.8,3253880,108961503.7
22,30,5114.4,2614.72,1253.96,6992790,209466951.5
22,40,5142.86,2645.17,1246.02,9316990,319921216.5
22,50,5177.55,2657.84,1246.53,12106030,433484383.1
22,60,5214.45,2660.26,1245.51,14743410,535809311.5
22,80,5290.73,2642.3,1239.9,21008420,714743955.8
22,100,5367.14,2621.03,1211.9,32164110,881889510.7
22,120,5435.97,2605.23,1156.52,53239390,1030601096
22,150,5482.25,2594.18,1136.05,68775050,1229354315
22,200,5523.46,2583.37,1135.04,84781040,1541470961
23,20,5050,2550,489.92,2432500,8200375.873
23,30,5079.21,2550,454.79,2919980,19879863.97
23,40,5083.67,2550,443.24,3405010,32283953.22
23,50,5077.78,2550,449.61,3405010,44870720.61
23,60,5074.55,2550,458.41,3405010,56712135.49
23,80,5072.48,2550,466.17,4379970,78505872.54
23,100,5074.52,2550.71,471.82,8262660,99121398.67
23,120,5079.65,2551.67,475.09,13125210,117995459.4
23,150,5089.32,2554.28,477.92,17490480,143915358
23,200,5107.44,2558.76,480.45,23313290,186479610.9
24,30,5050,2550,878.53,1940120,10348449.79
24,40,5050,2550,896.38,2425150,16721758.45
24,50,5050,2550,893.86,2425150,23161411.5
24,60,5066.06,2550,886.58,3880240,29300642.96
24,80,5076.09,2550,891.9,4850300,40775825.11
24,100,5088.08,2550,890.03,5820360,51672262.38
24,120,5105.15,2550,891.77,7275450,61735962.02
24,150,5119.16,2550,891.33,7760480,75670830.38
24,200,5154.34,2550,894.94,10185630,98868489.92
25,30,5050,2550,495.09,974960,3708626.852
25,40,5050,2550,548.95,2430050,5945749.185
25,50,5050,2550,543.51,2430050,8190483.081
25,60,5050,2550,547.68,2430050,10375860.19
25,80,5050,2550,537.29,3405010,14560782.43
25,100,5050,2550,486.6,4379970,18558613.51
25,120,5050.55,2549.93,420.8,6817370,22302250.74
25,150,5051.98,2549.86,364.39,7304850,27553324.41
25,200,5060.98,2557.85,293.45,12179650,36484921.47
26,20,5050,2550,1143.93,2404960,14477555.62
26,30,5050,2550,1145.12,2404960,35152853.03
26,40,5054.16,2543.71,1140.98,3860050,57309002.42
26,50,5057.67,2528.29,1118.88,5315140,79872830.46
26,60,5064.86,2518.76,1105.53,7255260,100857541.7
26,80,5075.71,2511.39,1094.69,8225320,138960704.2
26,100,5092.46,2508.07,1092.02,9680410,174883923.4
26,120,5110.93,2507.16,1093.85,10650470,207523264.2
26,150,5141.49,2508.22,1098.52,12590590,252026034.7
26,200,5146.18,2511.86,1106.93,11135500,324243196.5
27,10,5050,2550,1239.51,1414710,11054760.06
27,20,5053.61,2550,1233.39,3274070,77710355.61
27,30,5056.03,2550,1233.89,4436170,162119777.2
27,40,5064.46,2550.06,1248.42,9781830,254624666.3
27,50,5084.76,2550.13,1258.84,15127490,349636547.1
27,60,5112.23,2549.77,1264.41,19311050,435544280.3
27,80,5167.19,2548.26,1270.69,29769950,586397969.5
27,100,5222.44,2547.32,1274.52,37672230,727456577.9
27,120,5278.33,2545.67,1276.55,47686480,853248657.3
27,150,5351.81,2544.12,1278.71,57912960,1021741934
27,200,5451.85,2542.44,1280.96,69533960,1287297816
28,20,5050,2550,691.76,2910180,15930949.25
28,30,5066.64,2549.84,643.63,7275450,38670978.93
28,40,5106.21,2549.63,620.03,12610780,63076416.94
28,50,5145.25,2547.76,611.99,16005990,87945668.5
28,60,5183.99,2544.91,608.45,19886230,111030222.9
28,80,5246.78,2541.29,605.42,25706590,152851705.1
28,100,5304.15,2538.52,604.32,33467070,192258595.4
28,120,5353.91,2535.31,604.73,39772460,228017821.8
28,150,5412,2530.64,606.49,45592820,276716010
