sim,year,cx,cy,cz,volume,mass_kg
1,20,5050.0,2550.0,473.43,7297500.0,31671901.608
1,30,5063.47,2561.12,151.75,21796940.0,75482827.204
1,40,5079.9,2560.56,141.79,29459140.0,122994298.43
1,50,5089.3,2561.16,138.71,32046540.0,171603574.47
1,60,5099.3,2560.27,142.3,34681490.0,216134719.36
1,80,5115.02,2561.36,153.92,42573820.0,295563237.02
1,100,5127.14,2560.69,158.79,44521290.0,370119669.83
1,120,5143.44,2559.44,167.02,49546090.0,437187729.59
1,150,5159.35,2559.16,170.84,51833490.0,527770751.07
1,200,5185.69,2558.44,180.89,59190790.0,672490135.16
2,50,5050.0,2550.0,1222.86,949870.0,16378059.103
2,60,5050.0,2550.0,1251.61,1879550.0,20728943.568
2,80,5050.0,2550.0,1255.07,2111970.0,28927452.122
2,100,5050.0,2550.0,1249.33,2111970.0,36728101.263
2,120,5050.0,2550.0,1243.38,2111970.0,43965797.045
2,150,5050.0,2550.0,1237.04,2111970.0,54030882.476
2,200,5059.14,2550.0,1236.15,3506490.0,70906900.663
3,20,5050.0,2550.0,1310.63,1859360.0,18607485.702
3,30,5050.0,2563.41,1296.63,2324200.0,45116521.54
3,40,5061.93,2601.57,1276.96,3253880.0,73636115.924
3,50,5077.79,2630.21,1272.41,5578080.0,102725341.37
3,60,5092.26,2659.58,1268.54,6507760.0,129643940.37
3,80,5115.72,2687.27,1255.52,8892530.0,178234319.02
3,100,5131.93,2699.02,1238.02,11257110.0,223978297.11
3,120,5147.49,2704.56,1220.41,13641880.0,265403424.17
3,150,5163.37,2710.89,1199.58,17037090.0,321708665.22
3,200,5178.71,2716.32,1173.28,18977210.0,412607675.46
4,20,5050.0,2550.0,899.77,3880240.0,40868848.364
4,30,5055.77,2549.6,658.85,11155690.0,95287915.4
4,40,5065.08,2547.05,614.71,18925970.0,154508138.82
4,50,5087.64,2544.54,593.05,27678560.0,215175634.4
4,60,5103.23,2545.17,571.68,36436050.0,270512768.75
4,80,5124.14,2538.63,533.69,60000790.0,368707264.36
4,100,5141.92,2537.23,524.56,79477940.0,460761840.74
4,120,5161.23,2535.41,519.42,95547630.0,543332595.5
4,150,5185.2,2532.85,520.8,120852490.0,654548604.43
4,200,5219.25,2530.18,519.0,144712060.0,831434568.27
6,20,5050.0,2550.0,437.58,3409910.0,13161935.115
6,30,5086.86,2548.89,89.45,21459190.0,31959987.951
6,40,5153.57,2546.87,61.89,48645630.0,52074204.758
6,50,5218.43,2544.74,53.39,70029860.0,72546328.401
6,60,5277.91,2542.15,49.97,84591820.0,91622229.077
6,80,5386.17,2536.26,47.6,110965820.0,126337669.09
6,100,5473.43,2527.83,47.16,131865020.0,159085185.19
6,120,5553.88,2520.66,47.53,148224450.0,188876855.48
6,150,5641.64,2511.52,47.73,163661370.0,229545652.85
6,200,5767.38,2505.37,46.7,182510650.0,295671922.46
7,50,5050.0,2550.0,812.99,485030.0,10245510.654
7,60,5050.0,2550.0,812.99,485030.0,12975366.687
7,80,5050.0,2550.0,812.99,485030.0,18175816.332
7,100,5050.0,2550.0,812.99,485030.0,23137345.235
7,120,5050.0,2550.0,812.99,485030.0,27769591.287
7,150,5050.0,2550.0,812.99,485030.0,34249062.079
7,200,5050.0,2550.0,812.99,485030.0,45219081.298
8,50,5050.0,2550.0,667.49,485030.0,7806863.7309
8,60,5050.0,2550.0,710.11,1455090.0,9890509.6679
8,80,5050.0,2550.0,742.61,2425150.0,13885068.492
8,100,5050.0,2550.0,744.95,2425150.0,17702105.519
8,120,5050.0,2550.0,743.89,2910180.0,21278726.618
8,150,5050.0,2550.0,728.48,3395210.0,26298518.236
8,200,5053.49,2550.0,704.38,3880240.0,34845213.124
9,20,5050.0,2550.0,1058.89,2425150.0,51374373.35
9,30,5051.76,2549.4,1035.25,4365270.0,116170155.74
9,40,5062.11,2543.27,1041.52,8730540.0,186879738.89
9,50,5074.76,2535.15,1042.61,13580840.0,259392631.7
9,60,5081.46,2522.89,1041.13,15035930.0,325304137.14
9,80,5091.6,2499.39,1035.69,18431140.0,441777122.41
9,100,5095.63,2481.0,1032.04,19886230.0,550855922.15
9,120,5107.74,2467.04,1031.55,22796410.0,648470794.36
9,150,5144.32,2463.05,1029.57,31041920.0,779660145.45
9,200,5210.21,2466.58,1026.53,39772460.0,987559273.23
10,30,5050.0,2550.0,326.86,487480.0,4650284.342
10,40,5050.0,2550.0,352.67,1462440.0,7468273.011
10,50,5050.0,2550.0,393.97,2437400.0,10300268.502
10,60,5050.0,2550.0,385.02,2924880.0,13044622.297
10,80,5050.0,2550.0,384.1,2924880.0,18272042.485
10,100,5067.59,2550.0,386.73,5849760.0,23259149.057
10,120,5071.71,2546.83,382.56,6824720.0,27914945.279
10,150,5075.88,2545.99,383.15,6824720.0,34426926.572
10,200,5099.33,2543.47,380.91,9749600.0,45450770.954
11,20,5050.0,2550.0,1079.68,2910180.0,54965284.93
11,30,5058.03,2550.0,898.16,9215570.0,122919826.48
11,40,5072.62,2526.06,796.65,16976050.0,197133031.1
11,50,5099.45,2504.17,758.22,23768920.0,273260341.52
11,60,5129.37,2496.26,752.42,30079210.0,342391479.31
11,80,5159.62,2498.82,766.1,36389500.0,464415325.23
11,100,5180.15,2505.15,784.35,39787160.0,578660797.18
11,120,5199.98,2508.15,821.89,41242250.0,680834841.94
11,150,5209.18,2511.26,861.25,40272190.0,818068829.06
11,200,5211.78,2514.3,892.21,37844590.0,1035332512.7
14,40,5050.0,2550.0,1387.87,464840.0,14567835.646
14,50,5050.0,2550.0,1387.9,464840.0,20163295.54
14,60,5050.0,2550.0,1387.92,464840.0,25512615.275
14,80,5050.0,2550.0,1374.67,929680.0,35543739.64
14,100,5050.0,2550.0,1368.59,929680.0,45076594.084
14,120,5060.91,2550.0,1362.79,1394520.0,53897118.46
14,150,5061.46,2550.0,1354.07,1859360.0,66131686.755
14,200,5079.97,2550.0,1349.56,2324200.0,86557257.164
15,20,5050.0,2550.0,1046.56,2425150.0,27858465.3
15,30,5054.29,2550.56,1010.39,4365270.0,66857483.314
15,40,5070.7,2555.03,991.13,7275450.0,109072305.66
15,50,5081.09,2554.41,982.31,11640720.0,152232156.78
15,60,5094.96,2553.16,978.07,11640720.0,191863309.11
15,80,5121.62,2559.21,972.15,16976050.0,262747815.71
15,100,5147.19,2560.5,966.89,22311380.0,329329578.94
15,120,5168.19,2558.34,962.19,26191620.0,389316544.2
15,150,5195.26,2555.67,955.37,30556890.0,470454885.48
15,200,5233.78,2549.69,943.96,38802400.0,600398450.48
17,20,5068.25,2550.15,304.27,10232180.0,33629761.088
17,30,5135.97,2561.65,246.37,26801600.0,79820001.6
17,40,5212.94,2542.94,228.17,38501120.0,129954013.45
17,50,5266.8,2536.88,229.53,57995420.0,181262776.76
17,60,5340.03,2529.28,221.86,79057060.0,228217196.47
17,80,5471.35,2509.01,203.34,121827890.0,311862671.88
17,100,5582.8,2493.72,186.06,165573680.0,390353132.54
17,120,5685.35,2486.07,174.02,202357270.0,460910536.97
17,150,5799.9,2488.07,164.33,249967870.0,556142665.77
17,200,5926.15,2503.43,158.43,309377990.0,708122781.9
18,20,5050.0,2550.0,1050.57,2425150.0,22510912.147
18,30,5050.0,2550.0,958.43,4365270.0,54409980.424
18,40,5081.19,2531.81,815.09,8245510.0,88829280.08
18,50,5138.9,2516.95,757.47,11640720.0,123976024.31
18,60,5192.4,2501.6,733.65,15520960.0,156379508.99
18,80,5271.86,2475.93,717.72,24251500.0,214614070.83
18,100,5337.9,2453.12,706.96,27646710.0,269378024.13
18,120,5382.43,2449.54,700.82,32011980.0,318849626.24
18,150,5430.35,2457.98,696.6,37832340.0,385934854.91
18,200,5513.49,2477.26,693.57,48503000.0,493821479.41
22,10,5050.0,2550.0,1315.97,1859360.0,22190059.099
22,20,5079.68,2578.8,1266.8,3253880.0,108961503.66
22,30,5114.67,2615.4,1253.49,5598270.0,209466951.52
22,40,5143.5,2645.93,1245.54,7922470.0,319921216.48
